Zr	Density=6.506	Thickness=0.1	microns
Photon energy (eV)	Transmission		
10	7.75E-07		
10.9	1.29E-06		
11.8	2.48E-06		
12.7	5.94E-06		
13.6	1.45E-05		
14.5	5.74E-05		
15.4	2.57E-04		
16.3	1.25E-03		
17.2	4.21E-03		
18.1	1.09E-02		
19	2.30E-02		
19.9	4.19E-02		
20.8	6.79E-02		
21.7	0.10064		
22.6	0.13314		
23.5	0.16424		
24.4	0.1969		
25.3	0.22351		
26.2	0.22191		
27.1	5.05E-02		
28	4.60E-03		
28.9	1.84E-03		
29.8	1.01E-03		
30.7	5.33E-04		
31.6	2.40E-04		
32.5	5.90E-05		
33.4	1.21E-05		
34.3	2.01E-06		
35.2	7.17E-07		
36.1	6.41E-07		
37	7.06E-07		
37.9	9.60E-07		
38.8	1.30E-06		
39.7	2.13E-06		
40.6	3.56E-06		
41.5	5.96E-06		
42.4	1.21E-05		
43.3	2.45E-05		
44.2	4.69E-05		
45.1	1.13E-04		
46	2.91E-04		
46.9	6.70E-04		
47.8	1.40E-03		
48.7	2.68E-03		
49.6	4.76E-03		
50.5	7.93E-03		
51.4	1.25E-02		
52.3	1.87E-02		
53.2	2.69E-02		
54.1	3.73E-02		
55	5.08E-02		
55.9	6.73E-02		
56.8	8.65E-02		
57.7	0.1082		
58.6	0.13221		
59.5	0.15824		
60.4	0.18595		
61.3	0.21501		
62.2	0.24506		
63.1	0.27576		
64	0.30681		
64.9	0.33789		
65.8	0.36878		
66.7	0.39924		
67.6	0.4291		
68.5	0.45819		
69.4	0.48196		
70.3	0.50099		
71.2	0.51883		
72.1	0.53613		
73	0.55289		
73.9	0.56912		
74.8	0.5848		
75.7	0.59994		
76.6	0.61385		
77.5	0.6249		
78.4	0.63378		
79.3	0.64235		
80.2	0.65068		
81.1	0.65854		
82	0.66291		
82.9	0.66713		
83.8	0.67126		
84.7	0.6753		
85.6	0.67926		
86.5	0.68315		
87.4	0.68697		
88.3	0.69074		
89.2	0.69444		
90.1	0.69807		
91	0.70162		
91.9	0.70512		
92.8	0.70854		
93.7	0.71191		
94.6	0.71504		
95.5	0.7176		
96.4	0.71838		
97.3	0.71915		
98.2	0.71992		
99.1	0.72067		
100	0.72142		
