Al	Density=2.6989	Thickness=0.18	microns
Photon	Energy	"(eV),"	Transmission
10	5.43E-11		
10.9	3.47E-09		
11.8	4.88E-08		
12.7	3.95E-07		
13.6	4.24E-06		
14.5	1.17E-04		
15.4	0.10788		
16.3	0.28824		
17.2	0.44451		
18.1	0.52549		
19	0.58809		
19.9	0.64542		
20.8	0.66543		
21.7	0.66874		
22.6	0.6719		
23.5	0.67126		
24.4	0.6633		
25.3	0.65551		
26.2	0.65122		
27.1	0.64964		
28	0.64812		
28.9	0.64663		
29.8	0.64519		
30.7	0.64379		
31.6	0.64242		
32.5	0.64128		
33.4	0.64266		
34.3	0.6449		
35.2	0.64707		
36.1	0.64918		
37	0.65123		
37.9	0.65322		
38.8	0.65516		
39.7	0.65704		
40.6	0.65896		
41.5	0.66189		
42.4	0.66547		
43.3	0.66894		
44.2	0.67232		
45.1	0.67561		
46	0.67881		
46.9	0.68192		
47.8	0.68695		
48.7	0.69558		
49.6	0.7047		
50.5	0.71345		
51.4	0.72184		
52.3	0.7299		
53.2	0.73747		
54.1	0.74383		
55	0.74948		
55.9	0.75494		
56.8	0.76021		
57.7	0.76531		
58.6	0.77025		
59.5	0.77478		
60.4	0.77789		
61.3	0.78041		
62.2	0.78288		
63.1	0.78528		
64	0.7835		
64.9	0.78033		
65.8	0.77701		
66.7	0.7737		
67.6	0.77046		
68.5	0.76774		
69.4	0.7651		
70.3	0.76247		
71.2	0.75985		
72.1	0.75724		
73	4.08E-02		
73.9	3.70E-02		
74.8	3.35E-02		
75.7	3.02E-02		
76.6	2.73E-02		
77.5	2.46E-02		
78.4	2.21E-02		
79.3	1.98E-02		
80.2	1.77E-02		
81.1	1.59E-02		
82	1.44E-02		
82.9	1.29E-02		
83.8	1.16E-02		
84.7	1.04E-02		
85.6	9.35E-03		
86.5	8.60E-03		
87.4	8.05E-03		
88.3	7.81E-03		
89.2	7.58E-03		
90.1	7.36E-03		
91	7.14E-03		
91.9	6.93E-03		
92.8	6.73E-03		
93.7	6.54E-03		
94.6	6.35E-03		
95.5	6.16E-03		
96.4	5.99E-03		
97.3	5.82E-03		
98.2	5.65E-03		
99.1	5.49E-03		
100	5.33E-03		
