Sn	Density=7.3	Thickness=0.2	microns
Photon Energy (eV)	Transmission		
1.00E+01	1.17E-09		
1.09E+01	1.45E-08		
1.18E+01	1.74E-07		
1.27E+01	4.56E-06		
1.36E+01	2.08E-04		
1.45E+01	3.31E-03		
15.4	1.83E-02		
16.3	5.26E-02		
17.2	9.67E-02		
18.1	0.14038		
19	0.17797		
19.9	0.20825		
20.8	0.22553		
21.7	0.22251		
22.6	0.20205		
23.5	0.13207		
2.44E+01	5.04E-03		
2.53E+01	3.02E-04		
2.62E+01	1.90E-04		
2.71E+01	1.39E-04		
2.80E+01	1.39E-04		
2.89E+01	1.47E-04		
2.98E+01	2.65E-04		
3.07E+01	4.69E-04		
3.16E+01	7.77E-04		
3.25E+01	9.73E-04		
3.34E+01	1.14E-03		
3.43E+01	1.04E-03		
3.52E+01	8.76E-04		
3.61E+01	7.20E-04		
3.70E+01	5.41E-04		
3.79E+01	4.05E-04		
3.88E+01	3.01E-04		
3.97E+01	2.08E-04		
4.06E+01	1.36E-04		
4.15E+01	8.86E-05		
4.24E+01	5.70E-05		
4.33E+01	3.62E-05		
4.42E+01	2.27E-05		
4.51E+01	1.39E-05		
4.60E+01	8.44E-06		
4.69E+01	5.05E-06		
4.78E+01	2.98E-06		
4.87E+01	1.74E-06		
4.96E+01	1.09E-06		
5.05E+01	7.05E-07		
5.14E+01	4.53E-07		
5.23E+01	2.89E-07		
5.32E+01	1.85E-07		
5.41E+01	1.24E-07		
5.50E+01	8.99E-08		
5.59E+01	6.53E-08		
5.68E+01	4.73E-08		
5.77E+01	3.43E-08		
5.86E+01	2.63E-08		
5.95E+01	2.54E-08		
6.04E+01	2.50E-08		
6.13E+01	2.46E-08		
6.22E+01	2.43E-08		
6.31E+01	2.39E-08		
6.40E+01	2.36E-08		
6.49E+01	2.37E-08		
6.58E+01	2.42E-08		
6.67E+01	2.46E-08		
6.76E+01	2.50E-08		
6.85E+01	2.54E-08		
6.94E+01	2.58E-08		
7.03E+01	2.63E-08		
7.12E+01	2.73E-08		
7.21E+01	2.92E-08		
7.30E+01	3.13E-08		
7.39E+01	3.34E-08		
7.48E+01	3.57E-08		
7.57E+01	3.88E-08		
7.66E+01	4.46E-08		
7.75E+01	5.12E-08		
7.84E+01	5.87E-08		
7.93E+01	6.72E-08		
8.02E+01	7.66E-08		
8.11E+01	9.36E-08		
8.20E+01	1.18E-07		
8.29E+01	1.49E-07		
8.38E+01	1.87E-07		
8.47E+01	2.32E-07		
8.56E+01	2.88E-07		
8.65E+01	3.55E-07		
8.74E+01	4.35E-07		
8.83E+01	5.30E-07		
8.92E+01	6.56E-07		
9.01E+01	8.17E-07		
9.10E+01	1.07E-06		
9.19E+01	1.38E-06		
9.28E+01	1.78E-06		
9.37E+01	2.28E-06		
9.46E+01	2.89E-06		
9.55E+01	3.64E-06		
9.64E+01	4.57E-06		
9.73E+01	5.69E-06		
9.82E+01	7.04E-06		
9.91E+01	8.67E-06		
1.00E+02	1.06E-05		
