Sn	Density=7.3	Thickness=0.1	microns
Photon Energy (eV)	Transmission		
10	3.43E-05		
10.9	1.20E-04		
11.8	4.17E-04		
12.7	2.13E-03		
13.6	1.44E-02		
14.5	5.75E-02		
15.4	0.1353		
16.3	0.22933		
17.2	0.31099		
18.1	0.37468		
19	0.42187		
19.9	0.45635		
20.8	0.47491		
21.7	0.47171		
22.6	0.4495		
23.5	0.36342		
24.4	7.10E-02		
25.3	1.74E-02		
26.2	1.38E-02		
27.1	1.18E-02		
28	1.18E-02		
28.9	1.21E-02		
29.8	1.63E-02		
30.7	2.16E-02		
31.6	2.79E-02		
32.5	3.12E-02		
33.4	3.38E-02		
34.3	3.22E-02		
35.2	2.96E-02		
36.1	2.68E-02		
37	2.33E-02		
37.9	2.01E-02		
38.8	1.74E-02		
39.7	1.44E-02		
40.6	1.17E-02		
41.5	9.41E-03		
42.4	7.55E-03		
43.3	6.02E-03		
44.2	4.77E-03		
45.1	3.73E-03		
46	2.91E-03		
46.9	2.25E-03		
47.8	1.73E-03		
48.7	1.32E-03		
49.6	1.04E-03		
50.5	8.39E-04		
51.4	6.73E-04		
52.3	5.38E-04		
53.2	4.30E-04		
54.1	3.52E-04		
55	3.00E-04		
55.9	2.56E-04		
56.8	2.18E-04		
57.7	1.85E-04		
58.6	1.62E-04		
59.5	1.59E-04		
60.4	1.58E-04		
61.3	1.57E-04		
62.2	1.56E-04		
63.1	1.55E-04		
64	1.54E-04		
64.9	1.54E-04		
65.8	1.55E-04		
66.7	1.57E-04		
67.6	1.58E-04		
68.5	1.59E-04		
69.4	1.61E-04		
70.3	1.62E-04		
71.2	1.65E-04		
72.1	1.71E-04		
73	1.77E-04		
73.9	1.83E-04		
74.8	1.89E-04		
75.7	1.97E-04		
76.6	2.11E-04		
77.5	2.26E-04		
78.4	2.42E-04		
79.3	2.59E-04		
80.2	2.77E-04		
81.1	3.06E-04		
82	3.44E-04		
82.9	3.86E-04		
83.8	4.32E-04		
84.7	4.82E-04		
85.6	5.37E-04		
86.5	5.96E-04		
87.4	6.59E-04		
88.3	7.28E-04		
89.2	8.10E-04		
90.1	9.04E-04		
91	1.03E-03		
91.9	1.18E-03		
92.8	1.33E-03		
93.7	1.51E-03		
94.6	1.70E-03		
95.5	1.91E-03		
96.4	2.14E-03		
97.3	2.38E-03		
98.2	2.65E-03		
99.1	2.94E-03		
100	3.26E-03		
