Al	Density=2.6989	Thickness=0.2	microns
Photon Energy (eV)	Transmission		
10	3.93E-12		
10.9	3.98E-10		
11.8	7.52E-09		
12.7	7.67E-08		
13.6	1.07E-06		
14.5	4.28E-05		
15.4	8.42E-02		
16.3	0.25103		
17.2	0.40621		
18.1	0.48923		
19	0.5544		
19.9	0.61477		
20.8	0.63598		
21.7	0.63951		
22.6	0.64286		
23.5	0.64218		
24.4	0.63373		
25.3	0.62545		
26.2	0.62091		
27.1	0.61924		
28	0.61763		
28.9	0.61605		
29.8	0.61453		
30.7	0.61304		
31.6	0.6116		
32.5	0.61039		
33.4	0.61185		
34.3	0.61422		
35.2	0.61652		
36.1	0.61876		
37	0.62092		
37.9	0.62303		
38.8	0.62508		
39.7	0.62708		
40.6	0.62912		
41.5	0.63222		
42.4	0.63602		
43.3	0.63972		
44.2	0.64331		
45.1	0.6468		
46	0.65021		
46.9	0.65352		
47.8	0.65888		
48.7	0.66808		
49.6	0.67783		
50.5	0.68718		
51.4	0.69617		
52.3	0.70481		
53.2	0.71294		
54.1	0.71976		
55	0.72584		
55.9	0.73172		
56.8	0.73741		
57.7	0.7429		
58.6	0.74823		
59.5	0.75312		
60.4	0.75648		
61.3	0.75921		
62.2	0.76187		
63.1	0.76447		
64	0.76254		
64.9	0.75912		
65.8	0.75553		
66.7	0.75196		
67.6	0.74846		
68.5	0.74553		
69.4	0.74267		
70.3	0.73984		
71.2	0.73702		
72.1	0.7342		
73	2.86E-02		
73.9	2.56E-02		
74.8	2.29E-02		
75.7	2.05E-02		
76.6	1.83E-02		
77.5	1.63E-02		
78.4	1.44E-02		
79.3	1.28E-02		
80.2	1.13E-02		
81.1	1.01E-02		
82	8.97E-03		
82.9	7.98E-03		
83.8	7.09E-03		
84.7	6.28E-03		
85.6	5.56E-03		
86.5	5.07E-03		
87.4	4.71E-03		
88.3	4.56E-03		
89.2	4.41E-03		
90.1	4.26E-03		
91	4.13E-03		
91.9	3.99E-03		
92.8	3.86E-03		
93.7	3.74E-03		
94.6	3.62E-03		
95.5	3.50E-03		
96.4	3.39E-03		
97.3	3.28E-03		
98.2	3.18E-03		
99.1	3.08E-03		
100	2.98E-03		
