O	Density=4.05	Thickness=2.00000E-02	microns
Photon Energy (eV)	Transmission		
1.00E+01	0.22353		
1.09E+01	0.2507		
1.18E+01	0.278		
1.27E+01	0.29939		
1.36E+01	0.3159		
1.45E+01	0.31455		
15.4	0.2893		
16.3	0.19603		
17.2	0.11468		
18.1	5.66E-02		
19	2.43E-02		
19.9	1.78E-02		
20.8	1.78E-02		
21.7	1.82E-02		
22.6	1.92E-02		
23.5	2.02E-02		
24.4	2.18E-02		
25.3	2.40E-02		
26.2	2.62E-02		
27.1	2.86E-02		
28	3.10E-02		
28.9	3.34E-02		
29.8	3.60E-02		
30.7	3.85E-02		
31.6	4.11E-02		
32.5	4.38E-02		
33.4	4.65E-02		
34.3	4.92E-02		
35.2	5.19E-02		
36.1	5.47E-02		
37	5.97E-02		
37.9	6.53E-02		
38.8	7.11E-02		
39.7	7.70E-02		
40.6	8.31E-02		
41.5	8.93E-02		
42.4	9.56E-02		
43.3	0.10206		
44.2	0.1086		
45.1	0.11522		
46	0.12192		
46.9	0.12868		
47.8	0.1355		
48.7	0.14274		
49.6	0.15139		
50.5	0.16057		
51.4	0.16983		
52.3	0.17915		
53.2	0.18851		
54.1	0.19789		
55	0.2073		
55.9	0.2167		
56.8	0.22609		
57.7	0.23547		
58.6	0.24481		
59.5	0.25411		
60.4	0.26336		
61.3	0.27256		
62.2	0.28169		
63.1	0.29075		
64	0.29974		
64.9	0.30865		
65.8	0.31747		
66.7	0.3262		
67.6	0.33485		
68.5	0.34339		
69.4	0.35184		
70.3	0.36013		
71.2	0.36828		
72.1	0.37633		
7.30E+01	0.38426		
7.39E+01	0.3921		
7.48E+01	0.39983		
7.57E+01	0.40745		
7.66E+01	0.41496		
7.75E+01	0.42237		
7.84E+01	0.42968		
7.93E+01	0.43688		
8.02E+01	0.44397		
8.11E+01	0.45096		
8.20E+01	0.45784		
8.29E+01	0.46462		
8.38E+01	0.4713		
8.47E+01	0.47788		
8.56E+01	0.48435		
8.65E+01	0.49073		
8.74E+01	0.497		
8.83E+01	0.50318		
8.92E+01	0.50927		
9.01E+01	0.51525		
9.10E+01	0.52114		
9.19E+01	0.52694		
9.28E+01	0.53265		
9.37E+01	0.53827		
9.46E+01	0.5438		
9.55E+01	0.54924		
9.64E+01	0.5546		
9.73E+01	0.55987		
9.82E+01	0.56529		
9.91E+01	0.57074		
1.00E+02	0.57692		
